Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
01/08/1971,0.592123236715521,0.513432610913019,0.620226069880726,-1.11772725049044,-1.02419039563834,-1.40763464226399
01/15/1971,0.62409976885159,0.575196867958484,0.649601496426445,-1.11946926780283,-1.0420446496732,-1.42430330311299
01/22/1971,0.661157953774376,0.655397290728961,0.684426817530587,-1.12253634135662,-1.05853720109927,-1.43927116328657
01/29/1971,0.701827305006196,0.744811587856488,0.723316449555618,-1.12739052103656,-1.07302983101839,-1.45218074409543
02/05/1971,0.744824191187086,0.834244499092068,0.765182357257639,-1.13451917876495,-1.08502854232338,-1.4627274045036
02/12/1971,0.787892847651322,0.91266649955343,0.807952108639689,-1.14445034713936,-1.0939518230624,-1.47067824910246
02/19/1971,0.830025177098677,0.971835787967431,0.850892358214357,-1.15772698172108,-1.09937289388245,-1.47587566991319
02/26/1971,0.871688009822843,1.00878623989121,0.894548518873983,-1.17488267193946,-1.10068679818055,-1.47823690007526
03/05/1971,0.914465548316173,1.02645479643333,0.940784713551837,-1.19641137326535,-1.09765912828733,-1.47775871834835
03/12/1971,0.96038700407947,1.03128824329275,0.991644051263579,-1.22274996811512,-1.08982703825132,-1.47451047577609
03/19/1971,1.01157827339195,1.03532505496595,1.04937922407252,-1.2542152169168,-1.07707379025713,-1.46863090572379
03/26/1971,1.07023813639834,1.05589869067209,1.11607210994227,-1.29090633288974,-1.0592955470892,-1.46032399894714
04/02/1971,1.13639177346565,1.10839069411431,1.19168099027444,-1.33266529543403,-1.03665978497349,-1.44984116016094
04/09/1971,1.20888423820149,1.2048249428655,1.27464792922981,-1.37912937514513,-1.00928665756819,-1.43744999030899
04/16/1971,1.28342755966555,1.34609512430855,1.3605024260983,-1.42955833045111,-0.977692008864811,-1.42347707252355
04/23/1971,1.35361163542714,1.52058959356301,1.44245026998001,-1.48294802426067,-0.942324710844324,-1.40821138135617
04/30/1971,1.41232654672845,1.70564924211359,1.51297771787936,-1.53804851256094,-0.903728070960184,-1.39192929208034
05/07/1971,1.45165582404535,1.87020345847815,1.56392179088024,-1.59351099875639,-0.86253723706997,-1.37488333073857
05/14/1971,1.46306041766073,1.97808543074545,1.58652110476647,-1.64789077217327,-0.819347857715166,-1.35729277244797
05/21/1971,1.44207738033385,2.00220520512384,1.57619269422682,-1.69979212897238,-0.774800351398324,-1.33934342801047
05/28/1971,1.38959887701921,1.92928698843124,1.53356224075848,-1.74783984452504,-0.729396052856547,-1.32119310799814
06/04/1971,1.31016163221951,1.75880237557729,1.4631031461838,-1.79085160807056,-0.683706758804548,-1.30297415968634
06/11/1971,1.21139684379234,1.5027083922131,1.37228098764979,-1.82777396099853,-0.638154419812388,-1.28479829536381
06/18/1971,1.10953428019084,1.19643071824431,1.27687838079007,-1.85759092974817,-0.593172795661526,-1.26676323987836
06/25/1971,1.02146398100499,0.883284205886488,1.19331496808816,-1.87946292650729,-0.54916992818772,-1.24895494036068
07/02/1971,0.963512148907659,0.613344927871547,1.13758007754511,-1.8928288873932,-0.506594057976086,-1.23145230044318
07/09/1971,0.950989137436054,0.440440020319319,1.12450188192759,-1.89726480602093,-0.465840271536753,-1.21432477195725
07/16/1971,0.993462535567788,0.408062806994624,1.16341080757318,-1.89261391914295,-0.427396987108302,-1.19764764922699
07/23/1971,1.09342514360165,0.539228741764428,1.25670150730505,-1.87904936934578,-0.391637298704873,-1.18146300968587
07/30/1971,1.24560172328154,0.829816565321019,1.39913204480474,-1.8569616773987,-0.358916145692541,-1.16580611400998
08/06/1971,1.43594068367623,1.24305660380368,1.5770201969769,-1.82706647796001,-0.329612255901264,-1.15069284130499
08/13/1971,1.644175036371,1.71816948736618,1.7706534657929,-1.79039306041048,-0.303980926603173,-1.13612063511155
08/20/1971,1.84801498691873,2.18548481281745,1.95850258795046,-1.74823748244842,-0.282312648724407,-1.12207191517601
08/27/1971,2.02197110260771,2.5716327162281,2.11621278634607,-1.70223740590842,-0.264878688708209,-1.10851756755169
09/03/1971,2.15066447035164,2.83130075764255,2.22907068130996,-1.65398791855522,-0.251833645668363,-1.09541892563885
09/10/1971,2.22013580491787,2.93527112511676,2.28396556673091,-1.60522828122067,-0.243372022851918,-1.08273214461397
09/17/1971,2.22948986211821,2.88851070499139,2.2804894688749,-1.55761828748391,-0.239634045437055,-1.07041109056185
