specification,analysis_group,sample_type,lag_criterion,equation,parameter,coef,std_error,t_stat,p_value,nobs,lag_order,aic,bic,hqic,fpe
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,stablecoin_supply_daily_log_chg,const,-0.0005607759729491978,0.0003137576295155772,-1.7872903164617924,0.07389057831437526,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,stablecoin_supply_daily_log_chg,L1.stablecoin_supply_daily_log_chg,0.21191934413418373,0.02545349771398371,8.325745503249989,8.379966696015377e-17,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,stablecoin_supply_daily_log_chg,L1.hy_spread_daily_chg,0.006551375389377062,0.002071594911702483,3.162478992571475,0.0015643202185829973,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,stablecoin_supply_daily_log_chg,L1.ig_spread_daily_chg,-0.013660819726644787,0.007487075694116312,-1.8245868326641985,0.06806340192490862,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,stablecoin_supply_daily_log_chg,L1.btc_eth_daily_log_ret_avg,0.00971965325721902,0.004047428577962755,2.4014391038646417,0.01633072694399973,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,stablecoin_supply_daily_log_chg,L1.btc_eth_realized_vol_7d,0.07197868836675228,0.009112877304985043,7.898568800808673,2.8212403957599006e-15,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,stablecoin_supply_daily_log_chg,L1.term_spread_daily_chg,0.004438635368419111,0.0036027638053085084,1.2320084269412788,0.21794593625264513,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,stablecoin_supply_daily_log_chg,L1.usd_strength_daily_log_chg,0.03001025933607258,0.049971847220622596,0.6005433259967188,0.5481441953539196,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,hy_spread_daily_chg,const,-0.01435300119764076,0.0060354092032224756,-2.37813223832069,0.01740058445252992,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,hy_spread_daily_chg,L1.stablecoin_supply_daily_log_chg,0.561225087341795,0.4896208407564879,1.1462442784802116,0.2516940915386854,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,hy_spread_daily_chg,L1.hy_spread_daily_chg,-0.08625749696364347,0.03984898475534053,-2.164609650490112,0.03041759133463057,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,hy_spread_daily_chg,L1.ig_spread_daily_chg,1.1473602026913539,0.1440206111298704,7.966638897655581,1.6304820686177728e-15,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,hy_spread_daily_chg,L1.btc_eth_daily_log_ret_avg,-0.15550436920239746,0.07785591613034956,-1.9973352948804262,0.0457887716704165,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,hy_spread_daily_chg,L1.btc_eth_realized_vol_7d,0.4071885945144026,0.17529436220964742,2.322884714497639,0.020185346492253953,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,hy_spread_daily_chg,L1.term_spread_daily_chg,-0.05209737963569769,0.06930239070574143,-0.7517400064436973,0.4522074266377244,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,hy_spread_daily_chg,L1.usd_strength_daily_log_chg,0.6311101620955646,0.9612532676353595,0.656549302191781,0.5114707565182501,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,ig_spread_daily_chg,const,-0.006707302311945246,0.0013871000019714129,-4.835485763400264,1.3282088082550315e-06,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,ig_spread_daily_chg,L1.stablecoin_supply_daily_log_chg,0.18639161280828562,0.11252808986273044,1.6564007532311178,0.09764068867002801,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,ig_spread_daily_chg,L1.hy_spread_daily_chg,-0.05105179286292453,0.009158372692141406,-5.574330132549741,2.484841288780471e-08,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
