specification,analysis_group,sample_type,lag_criterion,caused,causing,caused_variables,causing_variables,direction,test_scope,test,statistic,p_value,df,significant_10pct,significant_5pct,significant_1pct,lag_order,nobs,error,fdr_family,fdr_family_size,fdr_q_value,fdr_reject_10pct
primary_bic_stablecoin_exchange_netflow_scaled,primary,common_business_day,bic,stablecoin_exchange_netflow_scaled,hy_spread_daily_chg,stablecoin_exchange_netflow_scaled,hy_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,0.46792269252773283,0.4939596619882848,"(1, 10374)",False,False,False,1,1490,,primary_reverse_12_tests,12.0,0.6348662460102602,False
primary_bic_stablecoin_exchange_netflow_scaled,primary,common_business_day,bic,stablecoin_exchange_netflow_scaled,ig_spread_daily_chg,stablecoin_exchange_netflow_scaled,ig_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,2.510896851096761,0.11309205220621828,"(1, 10374)",False,False,False,1,1490,,primary_reverse_12_tests,12.0,0.22618410441243655,False
primary_bic_stablecoin_exchange_netflow_scaled,primary,common_business_day,bic,stablecoin_exchange_netflow_scaled,hy_spread_daily_chg + ig_spread_daily_chg,stablecoin_exchange_netflow_scaled,"hy_spread_daily_chg, ig_spread_daily_chg",risk_to_crypto,joint_risk_group,granger_causality_f_test,1.500977054882578,0.2229606622049515,"(2, 10374)",False,False,False,1,1490,,,,,False
lag_robustness_aic_stablecoin_exchange_netflow_scaled,lag_robustness,common_business_day,aic,hy_spread_daily_chg,stablecoin_exchange_netflow_scaled,hy_spread_daily_chg,stablecoin_exchange_netflow_scaled,crypto_to_risk,individual,granger_causality_f_test,1.0922306657615308,0.3637302454125775,"(10, 9870)",False,False,False,10,1481,,,,,False
lag_robustness_aic_stablecoin_exchange_netflow_scaled,lag_robustness,common_business_day,aic,ig_spread_daily_chg,stablecoin_exchange_netflow_scaled,ig_spread_daily_chg,stablecoin_exchange_netflow_scaled,crypto_to_risk,individual,granger_causality_f_test,1.5335964022218198,0.12047668065487901,"(10, 9870)",False,False,False,10,1481,,,,,False
lag_robustness_aic_stablecoin_exchange_netflow_scaled,lag_robustness,common_business_day,aic,stablecoin_exchange_netflow_scaled,hy_spread_daily_chg,stablecoin_exchange_netflow_scaled,hy_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,1.4028130561959953,0.17190647408607404,"(10, 9870)",False,False,False,10,1481,,,,,False
lag_robustness_aic_stablecoin_exchange_netflow_scaled,lag_robustness,common_business_day,aic,stablecoin_exchange_netflow_scaled,ig_spread_daily_chg,stablecoin_exchange_netflow_scaled,ig_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,2.329957356533331,0.00975372526596601,"(10, 9870)",True,True,True,10,1481,,,,,False
lag_robustness_aic_stablecoin_exchange_netflow_scaled,lag_robustness,common_business_day,aic,stablecoin_exchange_netflow_scaled,hy_spread_daily_chg + ig_spread_daily_chg,stablecoin_exchange_netflow_scaled,"hy_spread_daily_chg, ig_spread_daily_chg",risk_to_crypto,joint_risk_group,granger_causality_f_test,2.4349540580742284,0.00034755448147198145,"(20, 9870)",True,True,True,10,1481,,,,,False
lag_robustness_hqic_stablecoin_exchange_netflow_scaled,lag_robustness,common_business_day,hqic,hy_spread_daily_chg,stablecoin_exchange_netflow_scaled,hy_spread_daily_chg,stablecoin_exchange_netflow_scaled,crypto_to_risk,individual,granger_causality_f_test,0.17116725067002003,0.6790850642284565,"(1, 10374)",False,False,False,1,1490,,,,,False
lag_robustness_hqic_stablecoin_exchange_netflow_scaled,lag_robustness,common_business_day,hqic,ig_spread_daily_chg,stablecoin_exchange_netflow_scaled,ig_spread_daily_chg,stablecoin_exchange_netflow_scaled,crypto_to_risk,individual,granger_causality_f_test,0.020773764053935093,0.8853997737314401,"(1, 10374)",False,False,False,1,1490,,,,,False
