specification,analysis_group,sample_type,lag_criterion,horizon,impulse,response,generalized_irf,cumulative_response_h1_to_h,shock_standard_deviation,shock_definition,cumulative_definition,lag_order,nobs
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,19,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,0.0002244585863529466,0.0176789472250499,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,20,stablecoin_supply_daily_log_chg,hy_spread_daily_chg,0.00019601160610000794,0.017874958831149906,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,0,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,-0.0008997391995058456,0.0,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,1,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0008034814260684608,0.0008034814260684608,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,2,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0008806585786032447,0.0016841400046717055,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,3,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0009023443430966912,0.0025864843477683966,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,4,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0008385048924636133,0.00342498924023201,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,5,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0007597536823597861,0.004184742922591796,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,6,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0006787554050483164,0.004863498327640113,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,7,stablecoin_supply_daily_log_chg,ig_spread_daily_chg,0.0006016293681597437,0.005465127695799856,0.0059458085756175765,one_standard_deviation_reduced_form_innovation,sum_of_spread_changes_from_horizon_1_to_h,1,1490
