date,hy_spread_daily_chg,ig_spread_daily_chg,usdt_mcap_daily_log_chg,usdc_mcap_daily_log_chg,dai_mcap_daily_log_chg,tusd_mcap_daily_log_chg,stablecoin_supply_daily_log_chg,stablecoin_exchange_netflow_scaled,btc_eth_open_interest_daily_log_chg,btc_eth_funding_rate_avg,stablecoin_exchange_reserve_daily_log_chg,tradingVol_btc+eth_daily_log_chg,btc_eth_daily_log_ret_avg,btc_eth_realized_vol_7d,term_spread_daily_chg,usd_strength_daily_log_chg,nfci_weekly_fill,vix_daily_log_chg,sp500_daily_log_ret
2020-01-01,,,0.0011509399295732972,0.0016926492366995973,0.004991584139489235,0.006776471942452212,-0.0007423902959655076,-0.003227720189358955,0.013000955933742685,0.0119271958333333,-0.009541772511105046,-0.0831890016392778,-0.011867691222964454,0.017604696570748375,,,-0.554711624170442,,
2020-01-02,,,7.577757681072878e-05,-0.003492325798029624,-0.01678233185583908,-0.0026592606401139893,-0.0009343775013877255,-0.0013208636382428072,0.006280343634735944,0.0076204358333333,-0.00392745794926934,-0.13383191114764093,0.0049025840193832266,0.016314074366660953,,0.0026606473095966976,-0.554711624170442,-0.09989250589356713,0.008343874454693534
2020-01-03,0.04999999999999982,0.020000000000000018,0.0006138867235891059,-0.0005619462644942935,0.004731289224582622,-0.005111364610413227,0.007668715135950158,0.002214156951123381,-0.04204858081726663,0.00668061916666665,0.006625308362408169,0.08007899608265459,-0.02959637847040876,0.020443006444053197,-0.02999999999999997,0.00010610485604889419,-0.554711624170442,0.11715912191449895,-0.007084909578082943
2020-01-04,,,-0.001370882339158204,-0.0020701106282786782,0.031092077822224323,-0.0013315009330292231,-0.0001598856600326197,-0.014972150172728778,0.03106710840714935,0.0067353808333333,-0.04567246602068992,0.4167225104530208,0.04913190862535168,0.02817735636872189,,,-0.554711624170442,,
2020-01-05,,,0.000979625103319893,0.00021605401794199763,-0.028417032144757742,-0.0011318475210148333,5.073469004812612e-05,-0.0015409382617731328,0.005179218942346442,0.0077289216666666495,-0.004821470392289649,-0.38878638387067566,0.005104137299786177,0.028041823606735523,,,-0.554711624170442,,
2020-01-06,-0.040000000000000036,0.0,-0.0013605797433678748,-0.0018886485935445485,0.01313505669496786,0.0008446958073545811,0.00033128233247620235,4.812769935516765e-05,0.07103637168200941,0.0066478058333333,0.00015098988112708045,0.05709227183104407,0.003132598590313835,0.02563432362768386,0.0,-0.00026963274444202767,-0.554711624170442,-0.012199648973096444,0.003527166358322731
2020-01-07,-0.029999999999999805,0.010000000000000009,0.0009227383418495239,-0.007768801771554341,0.06818031960186785,-0.007382089946249075,-0.004094187114634612,-0.0002605212640495588,0.010393896794492184,0.005591765,-0.0008142576558312276,0.2548490419269718,0.05708391554909909,0.03131157727205118,0.019999999999999962,0.0016688153635202596,-0.554711624170442,-0.0043415408281370915,-0.0028071449428903605
2020-01-08,-0.040000000000000036,-0.010000000000000009,-0.0014092369431890517,-0.04710213033881385,0.04940817235371158,0.0038696390705199417,-0.005806747354436706,-0.0018254965155705127,-0.013431731114866383,0.0059013658333333,-0.0056910168596771005,0.16150380082121965,0.0232498849135363,0.029789537290618482,0.0,-0.0001294073968116649,-0.567875768916454,-0.02496458575736238,0.004890437358737287
2020-01-09,-0.009999999999999787,-0.010000000000000009,-0.0012450961534829993,-0.04277907751278988,-0.022400224465925555,-0.034285212601024004,-0.0040404832166129395,-0.006699805784398979,-0.0016269732270423219,0.00740402416666665,-0.021082526845756455,0.12319473025075903,-0.015967591698608737,0.032060007530319796,-0.019999999999999962,0.0008707886569832013,-0.567875768916454,-0.07005557084307368,0.006633244037574926
2020-01-10,-0.010000000000000231,-0.010000000000000009,0.003027149222369752,-0.017288098702970902,-0.002457749006297442,0.0015434569750949567,-0.00428107492197001,-0.007410870115014011,0.0450830129996122,0.0086683408333333,-0.023746673393452974,-0.3145049874839444,-0.02209191627179031,0.030478323736109918,0.0,-0.0014363825782428563,-0.567875768916454,0.0015936258352780008,-0.0028593073050462436
2020-01-11,,,0.0003263031764427539,-0.006980172589847777,0.5939281311330326,0.00827200723519701,-0.002061375177870326,-0.004580777922031467,-0.007934024834925174,0.01144560416666665,-0.014934242304028707,0.2308779826013017,0.04559849344291173,0.02982632544843279,,,-0.567875768916454,,
2020-01-12,,,-0.0035090900012204095,-0.021221633893883207,-0.0027333021949748505,-0.0007037343971882452,0.00019978699085475128,-0.0018542104625751492,0.023987975918260428,0.0112931975,-0.006110304806657705,-0.11028055582228191,-0.01884890732024054,0.032255931008590054,,,-0.567875768916454,,
2020-01-13,0.0,0.0,0.00187698987852569,0.0006789326543643999,0.016197498390475948,0.005534268841453951,-0.003767259248806174,0.0004732164646914839,0.006070094232032426,0.01396438166666665,0.0015571015674871616,-0.13532675256315557,0.021112444457928037,0.032305148124564836,0.0,-0.000291175346545991,-0.567875768916454,-0.01929320293467862,0.006952059592316928
2020-01-14,-0.029999999999999805,0.010000000000000009,0.00023645838329072028,-0.004520001891485336,0.012204260172698402,-0.017506677707936333,-0.003099862553193802,-0.0004491186855324918,0.09655549400696226,0.0240152225,-0.00147317298424418,-0.0011169635638338712,-0.010080325187016844,0.02642611711614641,-0.030000000000000027,-8.954259821258859e-05,-0.567875768916454,0.005665737535677007,-0.0015156867317731582
2020-01-15,-0.010000000000000231,0.0,-0.0008955571728824861,-0.03446872830522046,0.020705121589169526,0.012141704127173573,0.0025300256246341387,-0.010553698015709257,0.024919725314246535,0.0343473108333333,-0.03534835294732294,0.7258244880024494,0.11338745735235696,0.04958813627388884,-0.009999999999999981,-0.0006183235281245203,-0.587858390042921,0.0024183808642819216,0.001868408623343143
2020-01-16,-0.020000000000000018,-0.010000000000000009,0.0017762495711672259,0.045504909846923174,0.004335083054170428,-0.005550281857485636,0.00145772939255302,0.004063121240602323,-0.004596841664601914,0.02623348666666665,0.013777190987559562,-0.11884257210077068,0.0018645039488695246,0.04809834558455585,0.0,0.0004157364117114426,-0.587858390042921,-0.008084118399958928,0.008331741632201073
2020-01-17,-0.029999999999999805,-0.020000000000000018,-0.0019413177394915445,-0.008166481005426524,0.017623820785675835,-0.0010399889218341166,-0.0026103264924332644,-0.00725082689122426,0.04098940949476326,0.03175515999999995,-0.02465524703757754,-0.25684873357812427,-0.013111339880105852,0.04693445311831521,0.03,0.0005650547688400565,-0.587858390042921,-0.018018505502678472,0.003854705717721174
2020-01-18,,,0.00047677677436277626,-0.008283612024643583,0.05696755940957811,-0.01630259203265391,-0.0014173617462217181,-0.004289718722402372,-0.0003268044931333234,0.01541808666666665,-0.01485668786663978,0.12014969121636186,0.032254851829930715,0.04598228576870931,,,-0.587858390042921,,
2020-01-19,,,-0.00047750525341819683,-0.0010625607373142057,0.013651834462409316,-0.010218211365192605,-0.00035741491204057025,0.0025579755074046236,-0.08475274597207835,0.020509794999999997,0.008882479023224647,-0.09039562450905046,0.009167149783196169,0.043377490839556054,,,-0.587858390042921,,
2020-01-20,-0.010000000000000231,0.0,0.00111896714573738,0.0007956071225055519,0.009228262381225184,-0.004553552003652017,0.0001975037251933458,-0.012777201528643268,0.008157682049005183,0.016813789166666652,-0.04518633216364186,0.01201236554221396,-0.034637865268761836,0.04841170637082176,,,-0.587858390042921,,
2020-01-21,0.0900000000000003,0.0,-0.000298760980414269,0.00012490678689466858,0.005834986114790454,-0.00898083578451928,-0.0010489427670870028,-0.004748409366408048,0.018903803014825842,0.0172459075,-0.017308766235570365,-0.27334642299556106,-0.0024798520283922125,0.0478605563920765,-0.010000000000000009,0.001059703069637763,-0.587858390042921,0.06013835873853335,-0.002655476937141188
2020-01-22,0.020000000000000018,0.0,0.000501040166367255,0.006227018334872911,0.015019969555696977,-0.01979412537830355,0.0015057885603621173,0.002568676575115507,-0.001941335312726413,0.01542098166666665,0.009414545660995687,-0.13697738608167379,0.012355001961915125,0.02103246781584533,-0.010000000000000009,0.00034459577390855145,-0.609271820483426,0.0046583935173223345,0.00028904605969515274
2020-01-23,0.08999999999999986,0.010000000000000009,-0.00013705321366393007,0.023788025698221103,0.013069328901382002,-0.0013606946719297297,-0.0026297659172697203,-0.009706372792541442,0.026766854779560482,0.0138077958333333,-0.03595389738571126,-0.025441001118267016,-0.007726110196093273,0.021260666731453475,-0.009999999999999981,0.0028355807887638917,-0.609271820483426,0.005407506417392849,0.0011403144471451299
2020-01-24,0.10000000000000009,0.010000000000000009,-0.0007716055211720081,-0.020008368334106342,0.006671878751572839,-0.0017084793193152526,-0.0001887568317529092,0.002843578385659678,-0.020205721121641956,0.013083383333333299,0.01066558927445108,0.14253982288369008,-0.030673298236345965,0.023860757768726353,-0.020000000000000018,9.519272415658975e-06,-0.609271820483426,0.11486833149259601,-0.009083268789936483
2020-01-25,,,0.0023729326252149023,0.0009655134490128384,0.005695054621689551,0.004516085649382529,-0.00015418286999600107,-0.0013303190452329575,-0.032677799164077106,0.0099888958333333,-0.004974785581516054,0.04965304133726992,0.0006198116954172486,0.018423514888903217,,,-0.609271820483426,,
2020-01-26,,,-0.001423522122404065,-0.00027446221622078585,0.003666105132830537,-0.00012756786488799746,-0.0004398785330941633,-0.0037417770308130855,0.07189064764471159,0.0140969633333333,-0.01412045675929367,-0.16870953126093494,-0.01034474243676876,0.016870030130325137,,,-0.609271820483426,,
2020-01-27,0.3500000000000001,0.030000000000000027,0.00048552038800893024,-0.0007516384738111121,0.009632160796252577,-0.002805135634071282,-0.000981495844931919,-0.0018162113266801355,0.05971700110223911,0.01996241916666665,-0.006919624045353207,0.14506646160557618,0.03582581038373448,0.020613051402980243,-0.03999999999999998,0.0021162199498530043,-0.609271820483426,0.22479054592203163,-0.01585572511838329
